DATE,LAT,LNG,ACC
Wed Nov 20 16:17:45 EST 2024,33.465516666666666,-82.08075500000001,2.6
Wed Nov 20 16:15:07 EST 2024,33.465513333333334,-82.08081666666666,1.7
Wed Nov 20 16:13:23 EST 2024,33.465559999999996,-82.08082,1.7
Wed Nov 20 16:10:22 EST 2024,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:10:13 EST 2024,33.465561666666666,-82.08081666666666,1.8
Wed Nov 20 16:10:07 EST 2024,33.465603333333334,-82.08084833333332,2.7
Wed Nov 20 16:10:05 EST 2024,33.46562333333333,-82.08086499999999,2.2
Wed Nov 20 16:10:03 EST 2024,33.46566833333333,-82.08090333333332,2.5
Wed Nov 20 16:09:58 EST 2024,33.465709999999994,-82.08093,2.6
Wed Nov 20 16:09:53 EST 2024,33.46573333333333,-82.08098999999999,3.2
Wed Nov 20 16:09:47 EST 2024,33.46575833333333,-82.08106000000001,3.4
Wed Nov 20 16:09:44 EST 2024,33.46578,-82.08111166666667,3.8
Wed Nov 20 16:09:41 EST 2024,33.46578833333333,-82.08116999999999,4.4
Wed Nov 20 16:09:39 EST 2024,33.46577,-82.08122833333333,5.5
Wed Nov 20 16:09:37 EST 2024,33.46578,-82.08132166666668,6.0
Wed Nov 20 16:09:34 EST 2024,33.465795,-82.08140333333334,8.7
Wed Nov 20 16:09:03 EST 2024,33.46566166666666,-82.08102833333332,41.6
Wed Nov 20 16:08:59 EST 2024,33.46561333333333,-82.08104999999999,35.3
Wed Nov 20 16:08:57 EST 2024,33.46566,-82.08103666666666,29.7
Wed Nov 20 16:08:55 EST 2024,33.465693333333334,-82.08098,5.1
Wed Nov 20 16:08:53 EST 2024,33.465735,-82.08093166666667,5.0
Wed Nov 20 16:08:52 EST 2024,33.465786666666666,-82.08093666666667,5.0
Wed Nov 20 16:08:51 EST 2024,33.465775,-82.08087500000002,6.1
Wed Nov 20 16:08:50 EST 2024,33.465786666666666,-82.080735,6.6
Wed Nov 20 16:08:48 EST 2024,33.465775,-82.080625,6.9
Wed Nov 20 16:08:46 EST 2024,33.46576666666667,-82.08068,6.7
Wed Nov 20 16:08:41 EST 2024,33.46574833333333,-82.08053166666666,7.3
Wed Nov 20 16:08:35 EST 2024,33.465725,-82.08058833333334,7.1
Wed Nov 20 16:08:33 EST 2024,33.465685,-82.08064666666665,6.6
Wed Nov 20 16:08:30 EST 2024,33.46567666666667,-82.08070500000001,5.8
Wed Nov 20 16:08:26 EST 2024,33.465651666666666,-82.08076166666666,4.8
Wed Nov 20 16:08:18 EST 2024,33.46561333333333,-82.08079833333335,4.5
Wed Nov 20 16:08:16 EST 2024,33.46565833333333,-82.08054166666668,6.3
Wed Nov 20 16:08:14 EST 2024,33.46565,-82.08048500000001,6.5
Wed Nov 20 16:08:09 EST 2024,33.46568333333333,-82.08041666666668,6.7
Wed Nov 20 16:08:05 EST 2024,33.46569,-82.08048833333332,6.5
Wed Nov 20 16:08:02 EST 2024,33.46568333333333,-82.08054500000001,6.4
Wed Nov 20 16:08:00 EST 2024,33.46564333333333,-82.08059,6.7
Wed Nov 20 16:07:58 EST 2024,33.46565,-82.08049166666666,6.8
Wed Nov 20 16:07:53 EST 2024,33.465691666666665,-82.08045666666666,6.8
Wed Nov 20 16:07:50 EST 2024,33.465745,-82.08041499999999,6.8
Wed Nov 20 16:07:47 EST 2024,33.465795,-82.08043666666666,6.7
Wed Nov 20 16:07:45 EST 2024,33.46583,-82.08047666666668,6.7
Wed Nov 20 16:07:43 EST 2024,33.46586166666667,-82.08054666666666,6.6
Wed Nov 20 16:07:34 EST 2024,33.46586,-82.08060500000002,5.6
Wed Nov 20 16:07:32 EST 2024,33.465826666666665,-82.080645,5.4
Wed Nov 20 16:07:28 EST 2024,33.46577666666667,-82.08066,5.1
Wed Nov 20 16:07:25 EST 2024,33.46572666666667,-82.08065,4.7
Wed Nov 20 16:07:21 EST 2024,33.46571666666667,-82.08056,4.4
Wed Nov 20 16:07:18 EST 2024,33.46571333333333,-82.08061500000001,4.2
Wed Nov 20 16:07:12 EST 2024,33.46566166666666,-82.08063166666668,3.8
Wed Nov 20 16:07:10 EST 2024,33.46561666666666,-82.08068,4.9
Wed Nov 20 16:07:08 EST 2024,33.46559,-82.08073333333331,5.3
Wed Nov 20 16:07:07 EST 2024,33.46557666666667,-82.08080833333334,5.8
Wed Nov 20 16:07:03 EST 2024,33.465559999999996,-82.08089666666667,7.0
Wed Nov 20 16:07:00 EST 2024,33.46553166666667,-82.08097833333335,7.1
Wed Nov 20 16:06:56 EST 2024,33.465511666666664,-82.08103000000001,6.8
Wed Nov 20 16:06:49 EST 2024,33.46555166666667,-82.08098999999999,5.6
Wed Nov 20 16:06:43 EST 2024,33.46558666666667,-82.08094666666666,4.4
Wed Nov 20 16:06:40 EST 2024,33.46561,-82.08089,3.9
Wed Nov 20 16:06:36 EST 2024,33.46566166666666,-82.08086499999999,3.3
Wed Nov 20 16:06:31 EST 2024,33.46571166666667,-82.08086333333334,2.9
Wed Nov 20 16:06:22 EST 2024,33.46574666666667,-82.08082833333334,2.4
Wed Nov 20 16:06:15 EST 2024,33.46571166666667,-82.08078666666667,2.2
Wed Nov 20 16:06:05 EST 2024,33.46566166666666,-82.08076833333334,2.1
Wed Nov 20 16:06:00 EST 2024,33.46561666666666,-82.08077333333334,2.2
Wed Nov 20 16:05:54 EST 2024,33.46557166666666,-82.08077666666668,2.1
Wed Nov 20 16:05:47 EST 2024,33.465556666666664,-82.080835,2.3
Wed Nov 20 16:05:39 EST 2024,33.465516666666666,-82.0808,2.0
Wed Nov 20 16:05:14 EST 2024,33.465545,-82.08075500000001,1.9
Wed Nov 20 16:05:10 EST 2024,33.465525,-82.08069833333333,1.9
Wed Nov 20 16:05:05 EST 2024,33.465469999999996,-82.08067000000001,2.0
Wed Nov 20 16:05:02 EST 2024,33.46542,-82.08065,2.0
Wed Nov 20 16:05:00 EST 2024,33.465375,-82.08062333333334,2.1
Wed Nov 20 16:04:58 EST 2024,33.465336666666666,-82.08058666666666,1.9
Wed Nov 20 16:04:56 EST 2024,33.46534,-82.08052833333335,2.0
Wed Nov 20 16:04:54 EST 2024,33.46537,-82.08047166666665,1.8
Wed Nov 20 16:04:52 EST 2024,33.465394999999994,-82.08041666666668,1.9
Wed Nov 20 16:04:50 EST 2024,33.46537333333333,-82.08035999999998,2.0
Wed Nov 20 16:04:48 EST 2024,33.465334999999996,-82.08030166666667,2.0
Wed Nov 20 16:04:46 EST 2024,33.465295,-82.08023666666668,1.8
Wed Nov 20 16:04:44 EST 2024,33.465265,-82.08016166666667,1.9
Wed Nov 20 16:04:42 EST 2024,33.46524,-82.08009333333332,1.9
Wed Nov 20 16:04:40 EST 2024,33.46522,-82.08004166666666,1.8
Wed Nov 20 16:04:37 EST 2024,33.46520833333333,-82.07998333333335,1.7
Wed Nov 20 16:04:14 EST 2024,33.46521166666666,-82.07991500000001,2.0
Wed Nov 20 16:04:10 EST 2024,33.46517166666667,-82.07987999999999,2.1
Wed Nov 20 16:04:03 EST 2024,33.46512,-82.07985500000001,2.1
Wed Nov 20 16:03:58 EST 2024,33.46507833333333,-82.07988166666668,2.1
Wed Nov 20 16:03:54 EST 2024,33.46503166666666,-82.07990833333334,2.1
Wed Nov 20 16:03:50 EST 2024,33.46497333333333,-82.079905,2.1
Wed Nov 20 16:03:47 EST 2024,33.464929999999995,-82.07992,2.3
Wed Nov 20 16:03:44 EST 2024,33.464886666666665,-82.07993499999999,2.3
Wed Nov 20 16:03:40 EST 2024,33.464843333333334,-82.07997166666668,2.3
Wed Nov 20 16:03:36 EST 2024,33.464795,-82.07999333333333,2.2
Wed Nov 20 16:03:33 EST 2024,33.46474666666666,-82.07999333333333,2.2
Wed Nov 20 16:03:30 EST 2024,33.46470333333333,-82.08003,2.2
Wed Nov 20 16:03:27 EST 2024,33.46466,-82.08007166666667,2.2
Wed Nov 20 16:03:24 EST 2024,33.46462,-82.08012166666667,2.3
Wed Nov 20 16:03:22 EST 2024,33.46458833333334,-82.08016666666666,2.2
Wed Nov 20 16:03:14 EST 2024,33.464551666666665,-82.08021666666667,2.4
Wed Nov 20 16:03:10 EST 2024,33.46452333333333,-82.08016333333335,2.5
Wed Nov 20 16:03:08 EST 2024,33.46448833333333,-82.08012166666667,2.5
Wed Nov 20 16:03:06 EST 2024,33.464439999999996,-82.08006666666667,2.7
Wed Nov 20 16:02:57 EST 2024,33.464355,-82.07997833333333,2.4
Wed Nov 20 16:02:51 EST 2024,33.46431166666667,-82.07995000000001,2.3
Wed Nov 20 16:02:46 EST 2024,33.464261666666665,-82.07992666666665,1.9
Wed Nov 20 16:02:44 EST 2024,33.464214999999996,-82.07985500000001,2.4
Wed Nov 20 16:02:41 EST 2024,33.46416333333333,-82.07982166666667,2.4
Wed Nov 20 16:02:39 EST 2024,33.464121666666664,-82.07979166666668,2.5
Wed Nov 20 16:02:36 EST 2024,33.464079999999996,-82.07975333333334,2.5
Wed Nov 20 16:02:32 EST 2024,33.46403333333333,-82.07970833333333,2.6
Wed Nov 20 16:02:29 EST 2024,33.46399666666667,-82.07967333333333,2.7
Wed Nov 20 16:02:10 EST 2024,33.46389166666667,-82.07958666666667,2.6
Wed Nov 20 16:01:55 EST 2024,33.463775000000005,-82.07952500000002,2.5
Wed Nov 20 16:01:52 EST 2024,33.463721666666665,-82.07953666666666,2.5
Wed Nov 20 16:01:45 EST 2024,33.46366666666667,-82.07954666666667,2.4
Wed Nov 20 16:01:42 EST 2024,33.46361666666667,-82.07953,2.5
Wed Nov 20 16:01:38 EST 2024,33.463584999999995,-82.07947833333334,2.5
Wed Nov 20 16:01:24 EST 2024,33.463498333333334,-82.079475,2.5
Wed Nov 20 16:01:14 EST 2024,33.46343666666667,-82.07936999999998,2.5
Wed Nov 20 16:01:10 EST 2024,33.46339833333333,-82.07932000000001,2.6
Wed Nov 20 16:00:57 EST 2024,33.46335666666666,-82.07921,2.4
Wed Nov 20 16:00:53 EST 2024,33.463325000000005,-82.07915999999999,2.4
Wed Nov 20 16:00:45 EST 2024,33.46326166666667,-82.07915,2.6
Wed Nov 20 16:00:39 EST 2024,33.463240000000006,-82.07909999999998,2.6
Wed Nov 20 16:00:32 EST 2024,33.463235000000005,-82.07904333333333,2.7
Wed Nov 20 16:00:25 EST 2024,33.46319166666667,-82.079005,2.7
Wed Nov 20 16:00:16 EST 2024,33.463118333333334,-82.07897,2.8
Wed Nov 20 16:00:11 EST 2024,33.463073333333334,-82.07897833333332,2.8
Wed Nov 20 16:00:01 EST 2024,33.462970000000006,-82.078915,2.8
Wed Nov 20 15:59:56 EST 2024,33.462941666666666,-82.07886833333332,2.7
Wed Nov 20 15:59:52 EST 2024,33.4629,-82.07883833333332,2.9
Wed Nov 20 15:59:48 EST 2024,33.46284833333333,-82.07882666666667,2.8
Wed Nov 20 15:59:44 EST 2024,33.462805,-82.07877833333332,2.9
Wed Nov 20 15:59:41 EST 2024,33.462763333333335,-82.07875666666665,2.9
Wed Nov 20 15:59:38 EST 2024,33.462715,-82.078725,3.0
Wed Nov 20 15:59:31 EST 2024,33.46266166666667,-82.078695,2.9
Wed Nov 20 15:59:23 EST 2024,33.46264166666666,-82.07864666666667,2.9
Wed Nov 20 15:59:02 EST 2024,33.46260666666667,-82.07857666666665,3.3
Wed Nov 20 15:58:58 EST 2024,33.46257166666667,-82.07852,3.6
Wed Nov 20 15:58:53 EST 2024,33.46255333333333,-82.078465,4.7
Wed Nov 20 15:58:50 EST 2024,33.46268166666667,-82.07829166666667,7.6
Wed Nov 20 15:56:44 EST 2024,33.46264333333333,-82.07880166666668,4.7
Wed Nov 20 15:56:40 EST 2024,33.462685,-82.07886166666667,3.4
Wed Nov 20 15:56:34 EST 2024,33.462736666666665,-82.07888833333332,2.8
Wed Nov 20 15:56:31 EST 2024,33.46279666666667,-82.07890166666667,2.7
Wed Nov 20 15:56:16 EST 2024,33.46290666666666,-82.078935,2.6
Wed Nov 20 15:56:01 EST 2024,33.46304333333333,-82.07899333333334,2.6
Wed Nov 20 15:55:58 EST 2024,33.46308833333333,-82.07900333333333,2.7
Wed Nov 20 15:55:49 EST 2024,33.463121666666666,-82.07905166666666,2.5
Wed Nov 20 15:55:33 EST 2024,33.463235000000005,-82.07912999999999,2.5
Wed Nov 20 15:55:24 EST 2024,33.46335,-82.07915166666668,2.7
Wed Nov 20 15:55:19 EST 2024,33.463388333333334,-82.07919500000001,2.7
