DATE,SSID,SS,BSSID,CAP,LAT,LNG,ACC
Wed Nov 20 16:10:15 EST 2024,NETGEAR72-5G,-81,c8:9e:43:87:2b:74,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS][MFPC],33.465561666666666,-82.08081666666666,1.8
Wed Nov 20 16:10:15 EST 2024,annstorecare,-91,a2:46:8d:27:70:68,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],33.465561666666666,-82.08081666666666,1.8
Wed Nov 20 16:10:15 EST 2024,atops9,-86,ae:46:8d:27:6f:e8,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],33.465561666666666,-82.08081666666666,1.8
Wed Nov 20 16:10:15 EST 2024,AWTS2,-89,30:b6:2d:2c:95:13,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],33.465561666666666,-82.08081666666666,1.8
Wed Nov 20 16:10:15 EST 2024,Jared Guest Wifi,-89,30:b6:2d:2c:95:11,[ESS],33.465561666666666,-82.08081666666666,1.8
Wed Nov 20 16:10:15 EST 2024,*PF Changs Guest,-70,e6:55:b8:53:18:b0,[ESS],33.465561666666666,-82.08081666666666,1.8
Wed Nov 20 16:10:15 EST 2024,Jared,-89,30:b6:2d:2c:95:12,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],33.465561666666666,-82.08081666666666,1.8
Wed Nov 20 16:10:15 EST 2024,DATASCAN,-89,2a:8d:cb:dc:70:e2,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],33.465561666666666,-82.08081666666666,1.8
Wed Nov 20 16:10:15 EST 2024,STJIS2499,-89,30:b6:2d:2c:95:10,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],33.465561666666666,-82.08081666666666,1.8
Wed Nov 20 16:10:15 EST 2024,atfi9,-91,aa:46:8d:27:70:68,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],33.465561666666666,-82.08081666666666,1.8
Wed Nov 20 16:10:15 EST 2024,,-69,e2:55:b8:53:18:b0,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],33.465561666666666,-82.08081666666666,1.8
Wed Nov 20 16:10:06 EST 2024,TMOBILE-9F51,-96,b0:92:4a:74:9f:57,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][MFPC],33.46562333333333,-82.08086499999999,2.2
Wed Nov 20 16:05:55 EST 2024,LexiCadillac,-80,ba:9f:09:41:db:93,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],33.46557166666666,-82.08077666666668,2.1
Wed Nov 20 16:05:55 EST 2024,Apple Store,-81,50:5c:88:01:56:cb,[ESS],33.46557166666666,-82.08077666666668,2.1
Wed Nov 20 16:05:55 EST 2024,NETGEAR72,-76,c8:9e:43:87:2b:72,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS][MFPC],33.46557166666666,-82.08077666666668,2.1
Wed Nov 20 16:00:53 EST 2024,aerie_gen,-90,d2:55:b8:07:0a:04,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],33.463325000000005,-82.07915999999999,2.4
