campaign_id,campaign_title,description,project_id,project_title,status,tag,type,value
BEC5A426-6705-A92B-B762-95A291C3612A,IRN-ISR,,EE602471-3406-024E-7CC1-2E24E7940E97,Israeli Media (Imported On 06-27-2023) (Imported On 08-29-2023),"Imported From BEARS
Imported From Temp Bears",pending,"IL-NEWS,ISR-MEDIA,IRN-ISR",url,https://yedhaifa.co.il
BEC5A426-6705-A92B-B762-95A291C3612A,IRN-ISR,,EE602471-3406-024E-7CC1-2E24E7940E97,Israeli Media (Imported On 06-27-2023) (Imported On 08-29-2023),"Imported From BEARS
Imported From Temp Bears",pending,"IL-NEWS,ISR-MEDIA,IRN-ISR",url,https://www.jcpa.org
BEC5A426-6705-A92B-B762-95A291C3612A,IRN-ISR,,EE602471-3406-024E-7CC1-2E24E7940E97,Israeli Media (Imported On 06-27-2023) (Imported On 08-29-2023),"Imported From BEARS
Imported From Temp Bears",pending,"IL-NEWS,ISR-MEDIA,IRN-ISR",url,https://www.virtualjerusalem.com
BEC5A426-6705-A92B-B762-95A291C3612A,IRN-ISR,,EE602471-3406-024E-7CC1-2E24E7940E97,Israeli Media (Imported On 06-27-2023) (Imported On 08-29-2023),"Imported From BEARS
Imported From Temp Bears",pending,"IL-NEWS,ISR-MEDIA,IRN-ISR",url,https://www.israeltoday.co.il
BEC5A426-6705-A92B-B762-95A291C3612A,IRN-ISR,,EE602471-3406-024E-7CC1-2E24E7940E97,Israeli Media (Imported On 06-27-2023) (Imported On 08-29-2023),"Imported From BEARS
Imported From Temp Bears",pending,"IL-NEWS,ISR-MEDIA,IRN-ISR",url,https://www.timesofisrael.com
BEC5A426-6705-A92B-B762-95A291C3612A,IRN-ISR,,EE602471-3406-024E-7CC1-2E24E7940E97,Israeli Media (Imported On 06-27-2023) (Imported On 08-29-2023),"Imported From BEARS
Imported From Temp Bears",pending,"IL-NEWS,ISR-MEDIA,IRN-ISR",url,https://www.newsnow.co.il
BEC5A426-6705-A92B-B762-95A291C3612A,IRN-ISR,,EE602471-3406-024E-7CC1-2E24E7940E97,Israeli Media (Imported On 06-27-2023) (Imported On 08-29-2023),"Imported From BEARS
Imported From Temp Bears",pending,"IL-NEWS,ISR-MEDIA,IRN-ISR",url,https://techtime.co.il/
BEC5A426-6705-A92B-B762-95A291C3612A,IRN-ISR,,EE602471-3406-024E-7CC1-2E24E7940E97,Israeli Media (Imported On 06-27-2023) (Imported On 08-29-2023),"Imported From BEARS
Imported From Temp Bears",pending,"IL-NEWS,ISR-MEDIA,IRN-ISR",url,https://www.debka.com
BEC5A426-6705-A92B-B762-95A291C3612A,IRN-ISR,,EE602471-3406-024E-7CC1-2E24E7940E97,Israeli Media (Imported On 06-27-2023) (Imported On 08-29-2023),"Imported From BEARS
Imported From Temp Bears",pending,"IL-NEWS,ISR-MEDIA,IRN-ISR",url,https://www.i24news.tv/en/news/israel
BEC5A426-6705-A92B-B762-95A291C3612A,IRN-ISR,,EE602471-3406-024E-7CC1-2E24E7940E97,Israeli Media (Imported On 06-27-2023) (Imported On 08-29-2023),"Imported From BEARS
Imported From Temp Bears",pending,"IL-NEWS,ISR-MEDIA,IRN-ISR",url,https://www.kan.org.il
BEC5A426-6705-A92B-B762-95A291C3612A,IRN-ISR,,EE602471-3406-024E-7CC1-2E24E7940E97,Israeli Media (Imported On 06-27-2023) (Imported On 08-29-2023),"Imported From BEARS
Imported From Temp Bears",pending,"IL-NEWS,ISR-MEDIA,IRN-ISR",url,https://www.jpost.com
BEC5A426-6705-A92B-B762-95A291C3612A,IRN-ISR,,EE602471-3406-024E-7CC1-2E24E7940E97,Israeli Media (Imported On 06-27-2023) (Imported On 08-29-2023),"Imported From BEARS
Imported From Temp Bears",pending,"IL-NEWS,ISR-MEDIA,IRN-ISR",url,https://www.prnewswire.co.il
BEC5A426-6705-A92B-B762-95A291C3612A,IRN-ISR,,EE602471-3406-024E-7CC1-2E24E7940E97,Israeli Media (Imported On 06-27-2023) (Imported On 08-29-2023),"Imported From BEARS
Imported From Temp Bears",pending,"IL-NEWS,ISR-MEDIA,IRN-ISR",url,https://www.israel21c.org
BEC5A426-6705-A92B-B762-95A291C3612A,IRN-ISR,,EE602471-3406-024E-7CC1-2E24E7940E97,Israeli Media (Imported On 06-27-2023) (Imported On 08-29-2023),"Imported From BEARS
Imported From Temp Bears",pending,"IL-NEWS,ISR-MEDIA,IRN-ISR",url,https://www.calcalistech.com
BEC5A426-6705-A92B-B762-95A291C3612A,IRN-ISR,,EE602471-3406-024E-7CC1-2E24E7940E97,Israeli Media (Imported On 06-27-2023) (Imported On 08-29-2023),"Imported From BEARS
Imported From Temp Bears",pending,"IL-NEWS,ISR-MEDIA,IRN-ISR",url,https://www.cursorinfo.co.il
BEC5A426-6705-A92B-B762-95A291C3612A,IRN-ISR,,EE602471-3406-024E-7CC1-2E24E7940E97,Israeli Media (Imported On 06-27-2023) (Imported On 08-29-2023),"Imported From BEARS
Imported From Temp Bears",pending,"IL-NEWS,ISR-MEDIA,IRN-ISR",url,https://www.israelhayom.com
BEC5A426-6705-A92B-B762-95A291C3612A,IRN-ISR,,EE602471-3406-024E-7CC1-2E24E7940E97,Israeli Media (Imported On 06-27-2023) (Imported On 08-29-2023),"Imported From BEARS
Imported From Temp Bears",pending,"IL-NEWS,ISR-MEDIA,IRN-ISR",url,https://www.israelbehindthenews.com
